,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
8353,17786,8,1,1,38,60817,9,5,2012,1,0,9748,6209,679,0,8,1784679.2
6245,19520,40,0,1,64,39739,9,7,2018,1,0,7335,329,351,0,3,1960957.8
4938,4308,79,0,0,19,89621,8,10,2003,1,0,3660,7332,509,0,3,432778.3
6798,45184,83,0,0,64,46789,9,5,2015,1,1,2234,8034,290,0,3,4521371.5
7812,5264,4,1,0,60,15295,6,7,2000,1,1,1666,4155,377,1,10,535227.0
1680,16668,62,1,0,68,14451,10,10,2018,0,1,4303,7846,513,0,5,1673885.8
6715,10482,25,1,1,70,80622,3,5,2000,0,0,6032,827,655,0,7,1055477.0
633,81573,98,1,0,57,30003,3,1,1992,1,0,808,9366,749,0,10,8163076.2
2569,36842,2,0,0,19,62775,6,5,1990,1,1,9049,2203,910,1,6,3685346.0
7359,69034,52,0,1,36,18253,1,8,2020,1,0,3682,1459,586,0,3,6907362.0
2166,73073,66,0,1,54,67669,10,8,2003,0,0,5066,8623,305,0,0,7317758.3
8169,36636,24,0,1,9,67715,2,4,2006,1,1,182,2752,324,1,7,3668391.6
8845,54740,77,1,0,17,97685,7,8,1998,0,1,1497,5874,796,0,1,5477153.8
2825,88755,4,1,1,5,61239,7,7,2011,1,0,1759,5842,288,1,5,8882476.1
4087,68522,29,0,0,53,93722,6,1,1998,0,1,6434,3187,956,1,5,6853535.8
6243,88182,3,1,1,82,35450,8,9,2014,1,1,1245,604,353,1,8,8830006.4
8364,93674,27,0,1,75,92270,2,3,1999,0,1,5736,6812,821,0,2,9375903.9
3941,4617,71,0,1,64,82430,9,7,1995,0,0,8439,5627,507,1,3,466004.5
9179,23212,2,1,0,90,98531,8,2,2015,1,0,5228,2040,796,0,8,2327333.5
8075,27465,65,0,1,39,49274,4,2,2006,0,1,374,9127,611,1,4,2751182.6
9195,1448,85,0,0,99,9174,9,7,2020,0,0,671,6270,895,1,8,154560.0
4128,39654,100,0,1,57,40428,2,4,2007,0,1,9685,4240,788,0,3,3970955.7
1172,67012,32,0,0,76,14937,1,9,2004,1,1,6796,7766,248,1,9,6707398.4
8668,80691,51,0,0,13,98637,10,5,2005,1,1,2967,6794,794,0,7,8071084.5
4222,44251,1,0,1,48,93033,1,9,2007,0,0,7723,2912,256,0,10,4434233.7
4834,40155,33,0,1,99,55389,6,8,2009,0,1,9296,3181,227,1,3,4028472.9
2576,17595,96,1,1,99,7025,6,10,2021,1,0,4123,8800,253,0,6,1770417.1
1989,69364,24,1,1,2,44116,4,1,1992,0,1,9897,8681,154,0,9,6943393.2
6973,49425,14,1,1,79,77532,7,8,1996,0,1,710,4184,464,0,9,4952474.6
5836,59237,54,1,0,85,38743,8,3,2012,1,1,165,3941,828,1,6,5932547.2
4532,44847,13,1,1,60,20388,9,7,2012,0,0,7381,3335,669,1,2,4490655.2
3209,23228,16,0,0,18,77811,3,2,2013,0,1,3513,1392,563,1,3,2324503.3
3855,47722,24,0,0,40,39713,6,5,2018,1,0,7499,3216,686,1,9,4774661.8
2628,11093,5,0,1,71,4151,4,2,1997,1,1,8059,136,287,1,0,1117189.7
7803,52297,79,0,1,41,95769,7,10,2010,1,0,8046,1826,993,0,5,5236809.0
1410,39337,54,0,1,53,48318,3,7,2017,0,0,9298,4387,185,1,7,3939660.7
8257,32928,85,0,1,81,48620,5,5,2019,0,0,2054,9554,178,0,9,3299683.9
7386,57480,47,0,1,97,56799,1,6,2014,1,0,96,3923,481,1,9,5759251.4
4303,76647,24,1,1,51,46056,2,2,1993,1,0,9871,7235,919,0,8,7670985.3
6750,63648,42,1,1,23,77197,3,2,2015,0,0,7273,6849,876,0,5,6373960.5
6555,78259,19,1,0,3,75751,1,4,1992,1,1,4501,8748,215,1,10,7829196.2
815,43030,81,1,1,85,73973,4,10,2010,0,1,1104,3332,978,1,10,4310671.0
2404,96871,55,0,0,77,54420,5,8,1996,0,0,7309,4305,122,1,4,9690783.6
5397,8020,80,0,1,85,33659,8,2,2012,1,0,6296,6951,970,0,7,810755.2
9956,26268,39,0,1,19,82398,7,4,2012,1,0,6357,6400,919,0,7,2631701.2
2131,81793,10,0,0,73,95922,2,10,2018,0,0,7377,6263,472,1,4,8184784.8
1797,65946,98,0,1,63,35928,1,8,2015,0,1,5802,1095,740,1,1,6597608.5
3090,50944,19,0,1,11,31392,4,4,2013,1,0,6963,819,893,0,1,5099151.3
4184,71040,58,1,1,18,29919,5,7,1996,1,1,5402,4479,238,0,7,7108408.6
4564,90068,96,1,0,55,88179,2,7,2009,1,0,567,999,895,0,4,9013793.9
5030,28659,58,0,1,21,78609,6,2,1993,0,1,4774,861,301,1,10,2869081.3
8048,22648,56,0,1,22,62211,9,6,2003,0,0,8000,2090,551,0,7,2268871.3
122,35631,54,1,0,7,77355,10,6,2018,1,1,216,1339,775,1,10,3568002.8
179,96091,100,0,1,24,99874,10,3,1999,0,0,6546,4094,373,0,6,9615021.9
9250,78851,24,0,1,53,6869,9,9,1998,0,0,5929,1703,331,0,4,7891785.8
8095,24633,76,1,1,62,5962,2,5,2016,0,1,3552,2008,458,1,8,2473370.6
6429,19189,63,1,0,50,77201,2,8,2014,1,0,1317,75,792,1,5,1922029.4
9737,1677,46,0,0,52,26178,9,10,2001,1,0,8237,7085,900,0,5,172086.1
4992,9115,24,0,1,8,65398,1,6,1997,1,1,7187,2578,472,1,10,914381.7
1157,45206,39,1,1,12,72090,4,8,2014,0,0,2724,7920,615,0,1,4527173.4
9003,50877,87,1,1,89,10814,1,10,2002,0,1,9927,238,831,0,5,5097460.2
1532,15614,21,0,1,37,77244,10,10,2001,1,1,7068,6512,667,0,10,1568188.1
8992,66518,20,0,1,96,40605,2,10,2005,0,1,3116,3804,115,1,10,6658518.5
7859,29444,29,0,0,63,43866,7,6,2008,1,0,8178,898,199,1,5,2947292.8
9110,5620,94,0,0,56,99851,7,4,1996,0,0,7397,8570,308,1,10,566525.6
1535,68731,24,1,0,70,40147,4,8,1993,0,0,1954,3066,938,1,3,6881235.3
9259,71549,58,1,1,85,70332,3,9,1996,0,0,1431,1075,671,1,9,7163168.6
5517,10719,77,0,1,17,62278,9,2,2018,1,1,9253,3133,116,0,6,1076789.8
2605,86607,8,1,0,98,59770,3,3,2017,1,0,5389,1169,381,0,0,8669030.7
6127,25643,6,1,1,34,18418,6,8,2021,0,1,4701,3855,384,0,6,2571876.1
9141,4711,98,0,1,80,93410,7,5,2007,1,1,7325,6629,813,1,0,478449.7
7458,16765,97,1,0,45,57100,10,3,2018,1,1,9340,1353,869,0,2,1682708.8
2177,29753,69,1,1,68,40412,7,4,2017,1,1,1025,4878,524,1,2,2986236.7
7990,44429,53,1,0,85,53552,3,6,1990,0,0,7746,5877,592,1,10,4452099.0
2351,40207,90,1,1,48,27482,8,1,2018,1,1,2099,9507,778,1,4,4029373.8
9177,24560,68,0,1,3,40529,5,8,2019,0,0,861,2701,576,1,6,2457903.9
3502,211,10,0,0,46,40481,7,5,2009,0,1,3367,1039,436,1,1,24058.9
2134,21068,18,1,1,85,23455,4,5,1990,1,1,9868,6168,935,0,1,2118534.0
1480,20447,11,0,1,99,2453,4,4,2020,1,0,9134,2479,642,1,8,2056119.0
2793,77882,73,0,1,76,5768,2,7,1993,0,1,2355,6496,747,1,1,7797780.3
4843,44633,100,1,0,69,70686,4,10,2010,1,0,8183,3882,479,0,8,4470611.0
9780,2033,53,1,0,57,88065,8,5,2002,0,0,7044,9640,992,0,1,207490.2
9934,86990,100,0,0,37,60764,5,1,2011,1,0,9084,1302,518,1,6,8702130.1
4762,92242,26,1,1,39,87265,10,7,2009,1,1,6405,476,894,0,2,9232332.9
7191,22521,61,1,1,63,17514,8,7,2016,0,1,8808,6952,999,0,1,2262620.6
6041,55020,34,0,0,14,43593,9,9,2001,1,1,191,4722,715,0,4,5503232.1
9636,38758,47,1,0,13,21669,2,10,2001,0,0,7089,4736,429,1,6,3879708.1
3445,80023,30,1,0,48,26389,6,7,2011,0,1,2021,2764,932,0,3,8011758.1
8149,93375,54,1,1,97,86020,4,6,2019,0,0,3408,7326,381,0,9,9349234.9
7765,32974,12,1,1,50,13197,8,8,2018,1,1,952,7601,859,1,5,3303547.8
3620,39524,5,0,0,2,8838,10,1,2005,1,0,3946,3364,500,0,7,3953344.5
1952,16416,75,0,0,98,57335,4,3,2012,0,1,9495,7347,554,0,4,1650531.2
555,9380,11,1,0,97,52987,10,4,2013,0,0,691,8302,754,0,1,945451.3
4264,69157,72,1,1,83,77004,10,5,2007,1,1,7233,3587,821,1,1,6926892.7
1163,1887,70,0,1,28,91863,10,9,2015,0,0,3200,4500,594,0,6,194035.5
1584,77280,49,0,1,8,36165,1,3,2009,1,1,5583,4466,444,1,5,7734154.9
6151,7033,2,0,1,37,71260,9,10,2001,0,1,5051,6478,534,1,10,708252.1
9720,7772,66,1,0,70,73824,6,2,1999,0,0,7627,8529,825,1,3,786743.9
5837,43579,14,1,0,87,27799,4,4,2019,0,1,1392,6335,516,1,5,4361420.9
5261,4261,94,0,0,74,35364,2,9,2016,1,0,2648,2283,667,0,10,433557.6
5239,87479,74,0,1,78,28130,4,3,2004,1,1,3269,433,829,1,10,8752889.4
7913,12629,13,1,0,40,30300,6,1,2008,0,0,8921,9935,859,0,5,1267009.8
9162,39239,29,0,1,97,59671,8,2,2002,1,0,1749,643,986,0,10,3933198.2
1598,51036,90,0,0,10,66827,7,1,1998,1,0,434,1150,961,0,1,5105099.8
7182,82535,53,0,1,17,85755,1,2,1997,0,0,2712,2834,494,1,9,8256501.7
300,65625,55,0,1,36,89469,2,10,2015,0,1,774,1091,958,1,10,6567597.5
9660,75520,53,1,1,23,5941,6,5,2002,0,1,8561,4759,765,0,9,7559921.2
6947,84791,74,1,1,69,19649,5,9,2001,0,0,960,9280,535,1,1,8490703.1
3794,63711,42,0,0,7,68345,1,2,1997,1,0,7322,8751,260,0,5,6372039.7
4572,74180,97,1,0,7,56256,2,2,2011,0,0,166,9405,631,0,1,7421254.1
4335,73318,61,1,0,56,28659,8,2,1991,1,1,3523,1326,949,1,8,7335990.1
2858,39799,23,1,0,76,24010,7,8,1993,0,1,5411,1575,281,0,9,3984987.3
5694,72545,96,1,1,78,11290,10,6,2021,1,1,7668,4904,911,0,0,7260052.1
3142,56202,3,0,0,89,39915,5,5,2001,0,0,8228,4928,254,0,5,5629550.1
1359,29827,64,1,1,45,91629,10,6,2013,1,1,8183,1633,197,1,7,2990376.3
4533,70820,52,1,1,30,14076,9,10,2006,0,1,2090,4566,867,0,2,7093917.6
9749,23198,89,1,0,73,15172,3,3,1999,0,0,871,5088,473,1,8,2326468.9
5687,46532,19,0,0,85,55537,10,8,2000,0,0,5004,7171,108,0,9,4661805.0
486,51780,83,0,0,88,3391,3,8,2021,0,0,540,4699,879,0,4,5184160.1
7836,24631,96,0,0,78,40012,4,1,2010,0,1,4126,8958,481,0,8,2465183.0
9554,23759,33,0,0,56,81549,8,5,1996,0,1,8103,2704,408,0,3,2380283.6
5900,20075,25,0,0,87,48709,10,3,2000,0,1,1432,13,807,1,1,2010227.0
8116,47607,3,0,1,13,90954,7,6,2009,0,0,4708,3744,183,1,9,4763835.9
7362,33023,47,0,1,23,61069,7,7,1998,1,0,6182,6313,988,1,9,3308071.8
1152,16214,65,1,0,56,28790,1,9,2015,1,1,9024,6518,882,0,0,1629077.5
5382,62236,45,0,0,32,25507,7,6,2011,1,1,5406,2590,919,0,8,6224903.1
9741,54859,57,0,0,2,54102,7,10,2013,0,1,6844,2798,270,0,4,5486707.3
5424,79298,57,0,1,64,58496,6,3,2007,1,0,2025,4962,824,1,4,7935780.7
8807,6086,42,0,0,4,10079,1,3,1992,1,1,8861,4976,348,1,10,609401.2
5186,22421,30,0,0,46,21596,8,6,1996,1,0,6380,6562,776,0,10,2245981.6
8409,46349,76,0,0,24,64904,9,9,2005,1,0,8950,1604,131,1,8,4636590.5
6189,81019,81,0,1,84,60447,8,10,2001,0,0,9850,4447,889,1,9,8108376.1
9702,65164,75,1,0,20,34821,8,6,2015,0,0,9489,9895,427,1,0,6520948.5
8269,67830,4,1,1,36,68547,5,10,1991,0,1,8,8701,923,0,9,6788996.1
5314,81468,19,0,1,39,101,2,5,2009,1,1,7553,1958,184,1,0,8152781.9
9903,91725,24,0,0,100,64216,5,9,1996,1,1,7284,4001,265,1,4,9175749.6
665,39191,71,0,0,21,29174,9,9,2011,1,0,142,121,633,1,10,3921295.1
3353,69179,60,0,1,9,40253,7,4,1993,0,0,4155,4151,580,1,4,6921389.3
8851,45553,28,0,0,22,48640,1,8,2009,1,1,6510,5721,402,0,6,4557358.9
8061,17761,19,0,0,5,21207,7,8,1994,0,1,2902,5026,941,1,4,1777289.4
642,91931,38,1,0,42,61701,8,8,2016,0,1,3013,28,139,0,4,9197803.6
9242,45947,16,0,0,15,87857,5,7,1999,1,0,91,4894,103,0,5,4595814.9
176,9166,4,1,0,16,26610,4,1,2015,1,1,6838,9438,842,1,8,922847.5
6431,27995,63,1,1,1,35061,7,5,2013,0,0,7010,9129,847,0,0,2809288.3
9910,62008,36,0,1,21,4240,3,5,2015,1,0,8840,6354,930,0,7,6206633.5
3438,31774,3,1,0,47,95811,9,5,1998,0,1,251,5011,986,0,0,3180672.8
786,32084,20,1,0,71,72927,10,8,2015,1,0,2309,4071,851,1,10,3214809.5
6391,21150,95,1,1,5,75764,7,2,2006,1,1,2917,3514,472,1,7,2124502.6
9065,34835,98,0,0,64,40630,9,8,1997,1,1,4989,9405,495,0,4,3489669.7
9927,9632,83,1,1,14,7737,8,4,2015,1,0,8873,973,812,1,3,975297.5
3202,89087,2,0,1,44,11926,7,7,2007,1,0,8225,8734,852,0,1,8914578.7
4803,7729,87,1,1,35,35661,7,2,2004,0,1,4456,5461,346,1,1,781939.4
7835,518,35,1,0,86,73855,2,2,1995,1,0,6158,1655,808,0,3,58191.5
7940,8161,36,1,1,78,39895,3,3,2010,1,0,2318,259,410,0,6,827591.0
91,34919,20,1,1,84,60113,5,1,1997,0,0,6566,628,408,0,2,3499532.7
5762,16284,39,1,1,29,40880,10,5,2019,1,1,2289,401,505,0,8,1638521.9
9027,12551,24,0,0,53,78052,3,4,1992,0,1,7949,6819,134,0,9,1257504.2
9504,28452,50,0,0,72,65296,2,8,2007,0,0,4152,898,719,0,9,2849892.7
8237,50663,77,0,1,42,52773,8,7,2011,0,1,9348,7849,850,1,3,5072020.1
1971,15713,12,0,0,68,32542,3,10,2006,0,0,6405,8723,924,1,10,1576682.6
2905,68603,60,0,0,23,54048,3,9,2020,0,1,5026,7023,209,0,2,6861289.0
530,50638,65,1,0,54,62598,7,5,2016,0,0,4071,2714,916,1,6,5068736.6
3635,47022,14,1,1,35,91949,4,4,2016,1,1,2951,5303,942,1,3,4709643.6
996,72730,58,0,0,38,37518,2,10,1993,1,0,9441,9775,854,1,0,7276501.3
5852,73082,54,1,1,18,41242,7,9,2007,0,1,3716,1004,418,0,10,7318776.7
4226,47413,22,0,1,60,40486,9,5,2015,1,1,5663,1056,676,0,6,4748923.5
5616,18037,91,0,0,16,38355,6,7,2009,0,1,4570,8309,336,0,5,1805824.9
2312,10606,76,0,1,16,22784,8,9,1996,0,1,6543,1133,957,1,0,1064850.6
2154,88308,31,1,0,35,43367,4,7,2014,1,1,524,4078,637,1,6,8838121.4
5317,29528,60,0,0,16,43738,2,4,2016,1,0,2515,8986,934,1,10,2954357.6
1427,27193,57,1,1,5,81972,7,4,2016,1,1,2151,4420,386,1,4,2726538.6
8630,27538,94,1,0,82,24662,8,4,2019,1,0,3849,9384,496,1,4,2758284.9
6032,9613,95,0,1,29,30000,10,3,2019,1,0,8657,5203,410,1,6,969559.9
4415,44722,47,0,1,91,94840,6,8,1992,0,1,6947,9309,621,0,10,4477117.2
8818,64088,52,0,1,67,7722,9,7,2011,1,1,8966,8195,867,0,3,6417344.1
3085,66705,50,0,0,11,62304,8,6,2007,1,1,4489,8258,310,0,9,6672336.7
7798,72178,26,0,0,20,11575,8,6,1990,1,0,8235,4354,723,0,10,7219819.0
9153,18604,63,0,0,23,15859,1,10,2003,1,0,96,7979,995,1,4,1861172.3
8209,97474,72,1,1,60,19549,10,2,2018,0,1,8016,3167,233,0,3,9759389.8
9573,86634,95,0,0,84,62531,10,8,2019,1,0,3654,6899,370,0,2,8666233.9
9534,68826,58,0,0,21,76890,2,2,2010,1,1,3126,1192,675,1,2,6884918.0
495,29788,61,0,0,68,65901,2,3,2011,1,1,6551,5740,782,0,1,2983377.1
3749,82707,79,1,1,25,50409,9,8,2011,0,0,140,8269,329,1,2,8278043.1
2321,93224,34,0,1,85,44052,7,1,2019,1,0,1871,7425,765,0,1,9329864.9
4267,70989,27,1,1,82,99255,1,9,1994,1,1,6131,7455,288,1,9,7113295.4
3405,37017,26,0,1,75,4978,7,7,2000,0,0,2197,1052,655,1,6,3709665.0
151,38937,35,0,1,77,2867,2,6,2013,1,1,1312,1272,794,0,1,3901433.3
7369,67971,40,1,0,85,57085,3,2,2018,1,1,2571,3908,615,1,0,6803688.8
694,74556,36,1,0,30,19713,2,5,2021,0,0,8074,2048,729,1,0,7461430.1
4417,37471,58,0,0,12,44690,1,3,2004,0,0,6521,9134,677,0,6,3747950.4
5697,65790,82,1,0,62,71245,2,5,1991,1,0,892,8340,180,1,3,6589425.1
1738,78199,93,0,1,15,19890,9,10,2003,1,0,4837,2752,569,1,4,7825365.3
3001,89220,31,1,0,64,16058,2,9,2014,1,1,6972,6571,361,0,8,8928266.4
167,38833,10,0,0,14,28075,4,3,2014,1,1,1828,7626,462,1,8,3884619.4
6111,71523,87,0,1,42,92755,8,5,2002,0,0,9048,8389,505,0,4,7159041.2
4622,26943,57,1,1,86,65019,9,5,2016,1,1,254,7641,913,0,0,2701654.6
2865,94695,86,1,1,1,52781,4,1,1992,1,1,5398,553,509,0,8,9478421.2
8544,67370,51,1,0,28,68941,7,3,2020,1,1,5096,2398,331,0,7,6742167.0
4702,67648,28,0,0,67,28888,3,10,2004,0,0,2557,3520,432,0,9,6770108.4
2883,93913,6,0,1,15,43554,4,6,2009,0,1,9940,7252,744,0,0,9396713.9
3031,45859,4,0,1,69,30467,7,2,2008,0,1,3926,3239,362,0,9,4595196.8
8183,55994,14,1,1,33,72689,8,2,2016,0,1,9205,9564,123,1,6,5610385.6
8980,16859,93,0,0,70,74704,10,6,2016,0,0,4911,1562,333,1,3,1690521.6
8528,96395,51,0,1,70,69572,1,4,2016,0,1,7673,136,594,1,3,9648710.6
5681,35409,1,1,0,58,5631,8,1,1992,1,1,4826,446,258,1,6,3546437.2
7209,52671,38,0,0,37,20274,10,5,2000,0,1,6327,3918,419,0,8,5270960.0
5991,19277,85,1,1,34,51286,2,2,1990,1,1,9790,5420,415,1,1,1936026.0
2276,58046,61,1,1,29,89671,10,5,2001,0,1,9252,5281,779,1,1,5811902.1
7132,143,27,0,0,53,82480,5,2,2010,1,0,4426,5336,911,0,4,17071.0
5705,6051,77,0,0,88,77373,5,7,2015,0,1,5330,5128,713,0,5,612527.5
7998,965,48,0,1,93,9662,8,2,2019,1,1,8115,6787,417,1,3,107936.9
5292,19739,67,0,0,84,26317,3,6,2021,1,1,1335,19,227,0,5,1979188.1
4304,37425,81,0,1,97,49011,6,3,2015,0,0,2837,1860,737,1,2,3753888.5
7445,2314,62,1,1,90,99353,8,6,2008,1,0,7391,3786,376,0,6,241260.8
428,39342,7,1,1,84,88712,5,7,1994,0,1,1003,2398,385,1,2,3946165.4
7068,58706,20,1,1,38,45218,5,1,1993,1,0,217,383,205,0,2,5879090.3
6364,83920,2,0,0,17,89999,10,7,2005,0,0,1432,6079,980,1,10,8393890.5
4215,62718,2,0,0,56,78805,4,1,1999,0,1,3758,6701,459,1,4,6275591.9
426,18041,90,1,0,99,90750,6,8,2006,1,0,1064,653,221,1,3,1817658.6
2223,86680,94,0,1,4,25439,2,4,2001,1,1,90,5940,171,1,1,8672197.1
100,39517,92,0,0,85,51212,4,6,2019,0,1,7618,1172,810,1,9,3953491.9
9244,56711,54,0,1,1,46415,8,10,1994,1,1,9545,9701,143,0,6,5673734.4
3307,20572,37,1,0,13,25928,3,10,2004,0,0,5688,3570,259,0,3,2059597.4
2762,40639,27,1,1,42,90011,1,10,2013,0,1,6672,8636,546,1,2,4074524.3
5857,66434,80,0,0,16,65059,6,8,2009,1,1,2276,24,262,1,0,6644460.9
4738,64584,90,0,1,31,32259,10,1,1996,0,1,5811,5719,217,0,9,6465423.6
7092,19793,6,0,0,4,38520,5,7,2012,0,1,4666,9056,854,1,0,1980251.2
9632,18795,40,1,1,70,96283,1,6,1998,0,0,111,7997,253,1,6,1889475.8
3286,92759,25,0,1,83,72034,8,10,2020,1,0,7449,6371,386,0,9,9279850.0
7712,18564,19,0,1,27,45460,4,6,2018,1,0,3316,7929,864,1,0,1860039.8
7868,52956,64,1,0,40,71981,6,5,2020,0,1,6280,1773,462,0,4,5303955.0
6067,42010,70,0,1,90,68388,10,3,2017,1,0,1113,3329,133,0,8,4206362.7
9235,81974,86,1,0,78,88702,10,2,2013,0,1,2472,335,535,1,1,8207704.3
3577,30631,13,0,1,60,25470,7,2,2010,0,0,2550,943,988,0,8,3070674.0
1465,90360,65,1,0,4,11790,6,10,2003,0,1,4727,5639,727,0,4,9039117.3
7675,56477,25,1,0,88,73449,8,3,2021,1,1,6692,5509,123,0,3,5654683.1
2234,3802,10,0,0,98,91448,2,4,1991,0,1,3153,7157,619,1,3,388147.1
1744,88997,90,1,0,84,63734,7,2,2003,1,0,6367,5762,404,1,7,8909466.3
9754,14984,61,1,1,71,67067,9,7,2007,0,1,5275,1128,222,0,2,1507691.7
6094,11987,48,1,0,53,34594,9,4,2018,1,0,7342,5115,150,1,1,1203183.8
8781,19341,95,1,1,21,23979,7,4,2017,0,0,7998,4370,101,0,4,1944096.7
9401,45301,37,1,0,44,23571,5,5,2001,0,0,7672,997,525,0,8,4535094.1
8371,28303,23,0,0,29,1348,8,9,1996,0,1,4559,8414,377,1,10,2833274.6
5027,54060,5,1,1,46,7678,3,8,1990,1,0,2407,2260,674,0,10,5414753.0
9234,11084,97,0,1,79,50171,4,7,1998,1,0,6932,9633,946,0,2,1113370.8
3944,17085,57,1,1,94,90216,10,4,2008,1,0,466,7240,846,1,4,1724807.8
6862,5540,14,1,0,61,13554,5,4,1995,0,0,9042,5851,752,0,6,559407.5
5350,2995,85,0,1,10,4058,3,3,2019,1,1,9970,9684,569,1,10,303184.9
9422,51391,73,0,1,73,93977,8,3,2008,0,1,3336,124,223,0,3,5145855.8
2121,23494,3,1,1,61,5253,7,1,2014,1,1,509,8537,542,1,6,2361737.4
4972,66784,34,0,0,3,96197,7,10,1992,0,1,238,15,853,1,9,6679374.2
8576,24104,53,1,0,28,91305,1,1,2008,0,0,560,305,697,0,3,2417754.8
3784,64918,91,0,1,10,14205,2,1,2011,0,1,7062,4642,878,0,2,6494744.1
6872,29619,41,0,0,53,78774,8,10,1993,0,1,2987,4641,491,0,8,2967787.3
916,46585,73,0,0,91,10008,2,6,1990,0,1,4670,2935,835,1,6,4662821.0
9394,13984,6,0,1,54,95904,9,10,2002,0,0,308,9837,660,0,1,1402812.2
7252,62054,5,0,1,72,21595,8,5,1991,1,1,3994,6667,411,1,9,6211960.1
8012,14667,25,1,1,76,96979,9,7,2010,0,0,1524,5081,542,1,7,1476554.0
5821,60454,96,1,0,50,16207,3,5,2003,1,0,2112,1163,869,0,9,6054212.3
4403,13388,87,1,1,69,61256,1,8,2003,0,0,2572,3787,553,0,9,1346253.3
4863,41042,88,1,1,44,51472,4,3,1990,0,0,6364,4491,121,0,1,4112280.0
8515,48092,61,1,1,54,58882,2,7,2009,1,1,2646,2546,464,1,3,4817550.9
5422,90265,45,0,0,4,99372,3,1,1990,0,0,7773,6002,827,1,6,9026973.0
7733,71362,82,1,1,16,17573,9,6,2007,0,0,2951,1297,173,0,2,7143972.7
1203,16979,67,1,0,84,81031,1,5,2012,0,0,4773,638,303,0,0,1706608.2
3768,2017,80,1,0,78,18325,1,10,2016,0,1,6984,8177,340,1,6,210585.6
5357,90404,26,1,1,9,34570,4,4,2004,1,0,4656,3857,931,0,4,9048377.4
3852,13760,10,1,0,32,92131,7,10,2021,0,1,8898,1611,955,1,6,1382162.1
1926,65309,69,0,0,27,20662,4,9,1991,0,1,1967,8462,143,1,1,6532309.1
3114,39302,41,0,0,67,33675,9,6,2016,0,0,8316,4989,170,0,4,3933732.6
2641,14185,3,1,0,94,76994,6,7,2002,1,1,5155,5381,799,1,3,1422531.2
7639,12113,38,1,0,22,27403,4,2,2010,1,1,6550,7116,502,1,0,1218338.0
7360,31952,33,1,0,60,24474,9,5,2005,0,0,1446,6397,587,0,1,3202868.5
8182,17553,15,0,0,30,57213,8,3,1997,1,0,689,4490,698,0,7,1757689.7
7610,72350,63,0,1,70,30127,9,4,2021,0,1,3686,7360,397,1,4,7240015.1
2728,74166,35,1,1,16,55843,7,2,1990,0,0,6208,6948,116,1,9,7423668.0
9597,15167,21,0,1,83,61807,2,6,2006,1,0,6764,8649,225,1,9,1525393.6
4985,82408,53,0,1,95,96843,7,10,1997,0,1,8132,8596,416,1,0,8248881.7
6846,49956,8,0,1,61,50026,10,5,2019,1,1,3903,2285,956,1,8,5000197.9
7698,29888,51,1,0,66,1498,2,4,2004,0,1,844,6617,904,1,1,2993396.4
4012,63825,100,0,0,82,65875,1,10,1991,0,0,8446,3253,937,1,10,6384963.1
2626,62318,43,1,0,29,1559,2,5,2007,0,0,4844,7082,281,0,10,6235136.7
7238,24118,82,0,0,93,43606,5,5,2013,0,0,5779,3649,581,1,8,2416901.3
8255,19729,30,0,0,81,52907,1,3,2003,1,0,1905,4477,591,0,1,1980073.3
9565,22907,26,0,1,1,1216,3,5,2017,1,0,4614,445,852,1,0,2296157.7
805,41168,99,0,1,11,53471,6,6,1992,1,0,5717,1821,888,0,9,4123023.2
4634,67629,27,0,0,38,45599,1,8,2011,0,1,4353,3714,388,0,10,6767151.1
5247,32597,81,1,0,64,99134,4,7,1993,1,1,7663,2244,385,1,4,3269431.3
5566,61694,58,0,1,4,24345,2,7,2001,1,1,2380,5219,726,0,3,6172206.1
5739,27665,29,1,1,24,52092,5,10,2011,1,0,7584,4075,861,1,9,2771481.1
5143,18932,36,0,0,51,51502,10,9,1991,1,0,3661,8156,110,1,10,1897312.1
8265,93180,91,1,1,3,10016,1,2,2012,1,0,2120,5643,653,1,1,9323693.2
4459,34982,30,1,0,66,5540,6,8,2001,0,1,224,802,474,1,1,3508325.1
1242,78173,67,0,0,68,39114,2,3,1996,0,0,3923,6401,791,0,7,7819707.6
6945,83641,37,0,0,22,11236,7,4,2006,0,1,3871,1612,210,1,3,8365598.6
5740,79169,22,0,0,39,28205,2,4,2010,1,0,5102,5828,464,1,4,7918220.0
5325,2725,13,1,0,50,27734,9,2,2014,1,1,9573,3744,146,1,1,280421.4
547,61208,51,1,0,39,86241,2,6,2021,0,1,4494,71,112,1,10,6126371.1
3022,74780,86,0,0,3,84310,5,2,2005,1,1,3421,1338,276,0,1,7479141.5
5761,6948,10,0,1,18,30836,10,7,1997,0,1,7781,4076,489,0,0,698524.7
4031,72636,61,1,1,56,12127,3,7,1990,1,1,3829,3592,731,1,8,7271337.0
26,95121,46,0,1,3,9382,7,9,1994,0,0,615,1221,328,0,10,9515440.4
4952,21832,69,0,1,26,79056,5,4,1990,0,0,4442,9402,149,1,9,2186291.0
5152,7364,45,1,1,77,41058,6,10,2010,0,0,4918,8690,650,1,6,746098.0
2508,72815,54,0,1,37,76023,7,9,2015,1,1,9419,4871,376,1,8,7287721.5
